seed,sigma,shape,method,mean_dev,adaptation,n_evade,min_dist,mean_energy,success
2,1.5,polyline,Pure Pursuit,13.833836341651583,16.0,7,1.7130450547937883,0.16332366591905798,44.518272425249165
2,1.5,polyline,Line of Sight,11.85939322260472,14.5,13,1.9618279640908458,0.15591298683980015,51.162790697674424
2,1.5,polyline,Vector Field,21.763020101805203,16.0,8,5.701030018905652,0.1494026207325022,37.87375415282392
2,1.5,polyline,Nonlinear Stabilization,18.538243067101,13.5,6,5.753914736878338,0.15251544972845393,43.521594684385384
2,1.5,polyline,Proposed AI,20.86022815971083,12.5,8,8.735598741125218,0.1524211322450199,35.548172757475086
2,2.0,straight,Pure Pursuit,27.521261118111287,44.0,9,0.6484476523785929,0.15777224244772883,33.88704318936877
2,2.0,straight,Line of Sight,12.873929783722495,14.5,13,1.5971457966768803,0.16067889339907193,50.83056478405316
2,2.0,straight,Vector Field,28.133316897832216,16.5,9,8.21398166766954,0.15498412547011353,23.25581395348837
2,2.0,straight,Nonlinear Stabilization,23.07989037238667,13.5,8,1.1787507157107093,0.15595495609120258,34.883720930232556
2,2.0,straight,Proposed AI,24.6380438931447,11.5,7,10.955345371389045,0.16184546912344733,24.58471760797342
2,2.0,circle,Pure Pursuit,17.72809374946995,9.0,17,3.7585910554442847,0.16015152793436221,39.8671096345515
2,2.0,circle,Line of Sight,19.15915703687579,2.5,17,4.673961152544878,0.14354556267899393,35.880398671096344
2,2.0,circle,Vector Field,18.67589650775439,17.5,5,15.806720044078226,0.14075610243538406,47.176079734219265
2,2.0,circle,Nonlinear Stabilization,20.63868922483574,18.5,6,7.120216275220261,0.15951418547498422,33.222591362126245
2,2.0,circle,Proposed AI,22.55959819303471,19.5,10,9.677819644767466,0.14833480774452218,35.548172757475086
2,2.0,polyline,Pure Pursuit,19.764995302882074,15.5,15,8.353051287404503,0.15927868526320021,40.863787375415285
2,2.0,polyline,Line of Sight,11.58033546566311,13.0,14,1.5971457966768803,0.1579288202334396,52.159468438538205
